Top three musics for user UXrhIUpVcO were MF4HM3BJ0t, MPM4K470Dq, MR5PCh4EIx. (turnaround time: 664.0, execution time: 262.0, waiting time: 402.0, processed by server 0)
Top three musics for user U6ybltUcDG were MardXxni2h, MxnZMEeAkk, M5MUtCgdPV. (turnaround time: 1586.0, execution time: 137.0, waiting time: 1449.0, processed by server 0)
Top three musics for user UKyDYDDluS were MQNktcjnR9, MjVTbioj1Z, MSKuqvbem8. (turnaround time: 1583.0, execution time: 95.0, waiting time: 1488.0, processed by server 0)
Top three musics for user U7Qc8tZ2NL were MgvxBsMyar, M8M7rvrNY8, MEMLtrdO81. (turnaround time: 1572.0, execution time: 88.0, waiting time: 1484.0, processed by server 0)
Top three musics for user UKyDYDDluS were MQNktcjnR9, MjVTbioj1Z, MSKuqvbem8. (turnaround time: 1608.0, execution time: 114.0, waiting time: 1494.0, processed by server 0)
Top three musics for user UMbFogUYd0 were MgO8VQBmED, MkfHLoStWC, M5qmmghioh. (turnaround time: 1618.0, execution time: 67.0, waiting time: 1551.0, processed by server 0)
Top three musics for user U0BKjBfXda were M7Vm9RBrFB, MJ1tA4jNxY, MWtWRjZFH3. (turnaround time: 1637.0, execution time: 66.0, waiting time: 1571.0, processed by server 0)
Top three musics for user UXrhIUpVcO were MF4HM3BJ0t, MPM4K470Dq, MR5PCh4EIx. (turnaround time: 1644.0, execution time: 70.0, waiting time: 1574.0, processed by server 0)
Top three musics for user Ua9RGM9Nbi were Mrzs4uUCEN, MQrNTpdPZT, MGTTQ1Nuas. (turnaround time: 1683.0, execution time: 69.0, waiting time: 1614.0, processed by server 0)
Top three musics for user UXrhIUpVcO were MF4HM3BJ0t, MPM4K470Dq, MR5PCh4EIx. (turnaround time: 1700.0, execution time: 63.0, waiting time: 1637.0, processed by server 0)
Top three artists for genre Rock and user UNilFaCJDp were AKaDk1WKOQ, APqkESNTY7, null. (turnaround time: 1746.0, execution time: 63.0, waiting time: 1683.0, processed by server 0)
